,TrialID,Registration_Date,Source
1662,NCT05919160,2023-06-26,new
1670,NCT05968248,2023-08-01,new
1674,NCT05820074,2023-04-19,new
1675,NCT05671848,2023-01-05,new
1679,NCT06259708,2024-02-14,new
1682,NCT01039090,2009-12-24,new
1687,NCT05377281,2022-05-17,new
1689,NCT05230095,2022-02-08,new
1690,NCT04611581,2020-11-02,new
1691,NCT02593955,2015-11-01,new
1692,NCT05034510,2021-09-05,new
1696,NCT05820425,2023-04-19,new
1698,NCT05870020,2023-05-23,new
1700,NCT01721460,2012-11-04,new
1701,NCT00998660,2009-10-20,new
1704,NCT03470324,2018-03-19,new
1705,NCT03085316,2017-03-21,new
1706,NCT02605161,2015-11-16,new
1711,NCT05482126,2022-08-01,new
1714,NCT05197439,2022-01-19,new
1718,NCT06269835,2024-02-21,new
1720,NCT00580658,2007-12-27,new
1725,NCT00985517,2009-09-28,new
1732,NCT05351580,2022-04-28,new
1735,NCT06272968,2024-02-22,new
1737,NCT01284699,2011-01-27,new
1738,NCT06093399,2023-10-23,new
1739,NCT00885222,2009-04-21,new
1742,NCT05197816,2022-01-20,new
1752,NCT05376761,2022-05-17,new
1754,NCT05707052,2023-01-31,new
1755,NCT01135407,2010-06-02,new
1758,NCT05070013,2021-10-06,new
1760,NCT05972759,2023-08-02,new
1767,NCT06196242,2024-01-09,new
1770,NCT05400499,2022-06-01,new
1773,NCT02249559,2014-09-25,new
1776,NCT03808675,2019-01-17,new
1777,NCT04933513,2021-06-21,new
1778,NCT01870518,2013-06-06,new
1781,NCT01191307,2010-08-30,new
1785,NCT01789385,2013-02-12,new
1786,NCT05072015,2021-10-08,new
1788,NCT02561715,2015-09-28,new
1790,NCT06175897,2023-12-19,new
1793,NCT06121947,2023-11-08,new
1795,NCT05905198,2023-06-15,new
1800,NCT00817453,2009-01-06,new
1801,NCT03982953,2019-06-12,new
1803,NCT05934747,2023-07-07,new
1805,NCT01364259,2011-06-02,new
1807,NCT05623644,2022-11-21,new
1811,NCT03935581,2019-05-02,new
1813,NCT05089786,2021-10-22,new
1817,NCT05592028,2022-10-24,new
1818,NCT06036199,2023-09-13,new
1821,NCT03608553,2018-08-01,new
1822,NCT05808504,2023-04-11,new
1823,NCT02580890,2015-10-20,new
1824,NCT02844868,2016-07-26,new
1826,NCT02250092,2014-09-26,new
1828,NCT05951010,2023-07-18,new
1830,NCT04964427,2021-07-16,new
1832,NCT03826030,2019-02-01,new
1835,NCT01169181,2010-07-26,new
1836,NCT06267222,2024-02-20,new
1837,NCT04086160,2019-09-11,new
1839,NCT03954496,2019-05-17,new
1840,NCT01539096,2012-02-27,new
1841,NCT05226910,2022-02-07,new
1843,NCT03237091,2017-08-02,new
1844,NCT05073471,2021-10-11,new
1845,NCT04704687,2021-01-12,new
1846,NCT05354232,2022-04-29,new
1847,NCT02286349,2014-11-07,new
1849,NCT04054726,2019-08-13,new
1852,NCT00656149,2008-04-10,new
1854,NCT05625620,2022-11-23,new
1855,NCT03368443,2017-12-11,new
1856,NCT00100503,2005-01-03,new
1857,NCT04532190,2020-08-31,new
1859,NCT02987140,2016-12-08,new
1866,NCT05960331,2023-07-25,new
1867,NCT05471960,2022-07-25,new
1872,NCT03972202,2019-06-03,new
1873,NCT02015338,2013-12-19,new
1874,NCT00825708,2009-01-21,new
1875,NCT04493190,2020-07-30,new
1876,NCT03243214,2017-08-08,new
1877,NCT06002581,2023-08-21,new
1878,NCT03538795,2018-05-29,new
1879,NCT05807581,2023-04-11,new
1880,NCT03318120,2017-10-23,new
1881,NCT05534139,2022-09-09,new
1885,NCT05478057,2022-07-28,new
1886,NCT00755339,2008-09-18,new
1888,NCT03656796,2018-09-04,new
1889,NCT06240624,2024-02-05,new
1890,NCT05321017,2022-04-11,new
1893,NCT04286191,2020-02-26,new
1895,NCT01827436,2013-04-09,new
1896,NCT05973019,2023-08-02,new
1897,NCT02914925,2016-09-26,new
1898,NCT03627416,2018-08-13,new
1899,NCT05502432,2022-08-16,new
1900,NCT00054652,2003-02-06,new
1901,NCT00692328,2008-06-06,new
1902,NCT01311271,2011-03-09,new
1903,NCT01740128,2012-12-04,new
1905,NCT05628805,2022-11-29,new
1906,NCT03940677,2019-05-07,new
1907,NCT03067818,2017-03-01,new
1911,NCT02205918,2014-08-01,new
1912,NCT05286736,2022-03-18,new
1913,NCT04315285,2020-03-19,new
1914,NCT01975909,2013-11-05,new
1917,NCT02837185,2016-07-19,new
1918,NCT04692285,2020-12-31,new
1920,NCT03085745,2017-03-21,new
1921,NCT03020433,2017-01-13,new
1922,NCT04895787,2021-05-20,new
1924,NCT05808153,2023-04-11,new
1925,NCT02323633,2014-12-23,new
1926,NCT04877184,2021-05-07,new
1927,NCT01446939,2011-10-05,new
1928,NCT00368199,2006-08-24,new
1929,NCT03603730,2018-07-27,new
1930,NCT01176721,2010-08-06,new
1931,NCT04118881,2019-10-08,new
1932,NCT04857281,2021-04-23,new
1933,NCT05263414,2022-03-02,new
1934,NCT02159586,2014-06-10,new
1935,NCT04207996,2019-12-23,new
1936,NCT03120325,2017-04-19,new
1937,NCT05339893,2022-04-21,new
1938,NCT05101707,2021-11-01,new
1939,NCT05405842,2022-06-06,new
1940,NCT05809037,2023-04-12,new
