TrialID,Date registration3
NCT06074614,20231003
NCT06015672,20230823
ChiCTR2300073361,20230707
ChiCTR2300072658,20230620
IRCT20230504058069N1,20230618
NCT05967390,20230615
NCT05925296,20230612
ChiCTR2300072289,20230608
NCT05850598,20230424
ChiCTR2300069853,20230328
ChiCTR2300069700,20230323
ChiCTR2300069706,20230323
NCT05713721,20230127
TCTR20230127001,20230127
NCT05705999,20230121
TCTR20230118001,20230118
NCT05599035,20221025
JPRN-jRCTs032220409,20221025
NCT05580302,20221010
CTRI/2022/09/045759,20220921
NCT05512299,20220819
CTRI/2022/01/039806,20220128
NCT05198076,20220102
NCT05198921,20211227
NCT05157321,20211208
NCT05165472,20211207
NCT05205772,20211202
ChiCTR2100053550,20211124
NCT05134259,20211120
ChiCTR2100052642,20211102
NCT05008289,20210809
DRKS00025875,20210720
NCT04916444,20210520
ChiCTR2100046258,20210512
NCT04902521,20210422
ACTRN12621000417886,20210415
NCT04795908,20210309
NCT04804176,20210308
NCT05095740,20210215
NCT04727177,20210124
ChiCTR2100042452,20210121
NCT04707378,20210111
NCT04699149,20210106
NCT04692844,20201229
NCT04698928,20201122
NCT04638777,20201105
ChiCTR2000039495,20201030
NCT04595578,20201007
NCT04578912,20200930
ChiCTR2000037373,20200828
NCT04501133,20200721
DRKS00022356,20200716
NCT04468932,20200707
NCT04431570,20200427
NCT04313530,20200316
NCT04299087,20200228
NCT04238000,20200118
CTRI/2020/01/022738,20200113
NCT04222218,20191231
RBR-3rvfwt,20191226
NCT04203615,20191209
NCT04179435,20191120
CTRI/2019/11/021847,20191104
NCT04116216,20190923
NCT04101994,20190922
NCT04048265,20190806
NCT05209516,20190723
NCT04017481,20190702
ChiCTR1900021924,20190316
NCT03844919,20190211
NCT03792789,20181219
NCT03780426,20181217
ChiCTR1800019216,20181031
NCT03714854,20181016
NCT03628703,20180810
ChiCTR1800017143,20180713
ChiCTR1800016986,20180706
ChiCTR1800016725,20180620
JPRN-UMIN000021257,20180401
NCT03642951,20180321
NCT03481491,20180320
NCT03712072,20180124
CTRI/2018/01/011359,20180116
NCT03342846,20171107
NCT03350464,20171020
NCT03317509,20171007
ChiCTR-ROR-17012744,20170919
JPRN-UMIN000021227,20170901
NCT03273270,20170828
NCT03271736,20170806
NCT03223623,20170719
JPRN-UMIN000028079,20170706
NCT03217110,20170630
NCT03354455,20170601
NCT03025529,20170106
NCT02969941,20161117
IRCT2016092525568N2,20161110
NCT02957942,20161026
CTRI/2016/08/007166,20160809
NCT02840760,20160719
